# surfid  0   p1   p2   trignum1    trignum2   domin/surfnr1    domout/surfnr2   ednr1   dist1   ednr2   dist2 
edgesegmentsgi2
16
       1       0       1      10       -1       -1        1        0        1            0       -1            0
       0       0       2      14       -1       -1        1        0        2            0       -1            0
       0       0       3      17       -1       -1        1        0        3            0       -1            0
       0       0       4      18       -1       -1        1        0        4            0       -1            0
       1       0       5      13       -1       -1        1        0        1            0       -1            0
       0       0       8      16       -1       -1        1        0        2            0       -1            0
       0       0       9      19       -1       -1        1        0        3            0       -1            0
       0       0       7      12       -1       -1        1        0        4            0       -1            0
       1       0      10       5       -1       -1        1        0        1            0       -1            0
       0       0      14       8       -1       -1        1        0        2            0       -1            0
       0       0      17       9       -1       -1        1        0        3            0       -1            0
       0       0      18       7       -1       -1        1        0        4            0       -1            0
       1       0      13       2       -1       -1        1        0        1            0        1            1
       0       0      16       3       -1       -1        1        0        2            0        2            1
       0       0      19       4       -1       -1        1        0        3            0        3            1
       0       0      12       1       -1       -1        1        0        4            0        4            1
