# surfid  0   p1   p2   trignum1    trignum2   domin/surfnr1    domout/surfnr2   ednr1   dist1   ednr2   dist2 
edgesegmentsgi2
32
       1       0       1      26       -1       -1        1        0        1            0        1        0.125
       0       0       2      30       -1       -1        1        0        2            0        2        0.125
       0       0       3      33       -1       -1        1        0        3            0        3        0.125
       0       0       4      34       -1       -1        1        0        4            0        4        0.125
       1       0       5      37       -1       -1        1        0        1          0.5        1        0.625
       0       0       8      51       -1       -1        1        0        2          0.5        2        0.625
       0       0       9      55       -1       -1        1        0        3          0.5        3        0.625
       0       0       7      46       -1       -1        1        0        4          0.5        4        0.625
       1       0      10      36       -1       -1        1        0        1         0.25        1        0.375
       0       0      14      50       -1       -1        1        0        2         0.25        2        0.375
       0       0      17      54       -1       -1        1        0        3         0.25        3        0.375
       0       0      18      47       -1       -1        1        0        4         0.25        4        0.375
       1       0      13      29       -1       -1        1        0        1         0.75        1        0.875
       0       0      16      32       -1       -1        1        0        2         0.75        2        0.875
       0       0      19      35       -1       -1        1        0        3         0.75        3        0.875
       0       0      12      28       -1       -1        1        0        4         0.75        4        0.875
       1       0      26      10       -1       -1        1        0        1        0.125        1         0.25
       0       0      30      14       -1       -1        1        0        2        0.125        2         0.25
       0       0      33      17       -1       -1        1        0        3        0.125        3         0.25
       0       0      34      18       -1       -1        1        0        4        0.125        4         0.25
       1       0      37      13       -1       -1        1        0        1        0.625        1         0.75
       0       0      51      16       -1       -1        1        0        2        0.625        2         0.75
       0       0      55      19       -1       -1        1        0        3        0.625        3         0.75
       0       0      46      12       -1       -1        1        0        4        0.625        4         0.75
       1       0      36       5       -1       -1        1        0        1        0.375        1          0.5
       0       0      50       8       -1       -1        1        0        2        0.375        2          0.5
       0       0      54       9       -1       -1        1        0        3        0.375        3          0.5
       0       0      47       7       -1       -1        1        0        4        0.375        4          0.5
       1       0      29       2       -1       -1        1        0        1        0.875        1            1
       0       0      32       3       -1       -1        1        0        2        0.875        2            1
       0       0      35       4       -1       -1        1        0        3        0.875        3            1
       0       0      28       1       -1       -1        1        0        4        0.875        4            1
